Day,En_Title,En_YouTubeLink,Ch_Title,Ch_YouTubeLink,老張批註
1,Genesis 1,afVN-7vY0KA,创世记 第1章 - Genesis 1,r25wE3oEgzM,
2,Genesis 1-11,GQI72THyO5I,创世记 1-11章 - The Book of Genesis 1-11,nGpETp-p-4Y,
3,Torah: Genesis 1-11,KOUV7mWDI34,《读圣经》系列：创世记 上集 Genesis 1-11,BuG9tKLsl7o,
4,Abraham and Melchizedek,KlZjA-3hiys,亚伯拉罕和麦基洗德  Abraham and Melchizedek,LPE70nNuB0U,
5,Genesis 12-50,F4isSyennFo,《读圣经》系列：创世记 下集 Genesis 12-50,sT67Uat1uoE,
6,,,,,
7,The Test,sR4AT0LMJ5c,考验 - The Test,u77Yf0YqMhE,
8,The Last Will Be First,n-UenIDevpI,在后的要在前  The Last Will Be First,N4Qh_DppUls,
9,,,,,
10,,,,,
11,What Is the Bible?,ak06MSETeo4,什么是圣经?  - What is the Bible?,aBbE8bjfbac,
12,The Story of the Bible,7_CGP-12AE0,圣经的故事 - The Story of the Bible,Epk_6phdwqA,
13,Literary Styles,oUXJ8Owes8E,圣经中的文学形式 - Literary Styles in the Bible,D9aPhPfjts0,
14,Ancient Jewish Meditation Literature,VhmlJBUIoLk,犹太默想文学 - Ancient Jewish Meditation Literature,8OD8WGiKkpU,
15,,,,,
16,Torah: Genesis 12-50,VpbWbyx1008,创世记 12-50章 - The Book of Genesis 12-50,z47Z_FNblgM,
17,Exodus 1-18,jH_aojNJM3E,《读圣经》系列：出埃及记 上集 Exodus 1-18,mjnVgCHbLp0,
18,"Vocab Insight: ‘Avad / Serve, Work",hhkafDU0XF0,,,
19,Vocab Insight: ’Ot / Sign,YMTR7M33eIQ,,,
20,What is Passover?,14x_PtlnJHw,,,
21,,,,,
22,Torah: Exodus 1-18,0uf-PgW7rqE,出埃及记 1-18章 - The Book of Exodus 1-18,veEkSQlZvOI,
23,Exodus 19-40,oNpTha80yyE,《读圣经》系列：出埃及记 下集 Exodus 19-40,dbNqDrBMoBo,
24,The Covenants,6v4jKkFj3TI,盟约 - Covenants,q0AWK7em5ug,
25,Royal Priests of Eden,K60TAYja110,伊甸园里君尊的祭司 - Royal Priests Of Eden,TgF_p6Apx7s,
26,Moses and Aaron,rhc1SjvYXqE,摩西和亚伦  Moses and Aaron,ZcU-jVdRT_M,
27,Anointing,-uPNMO-YA5E,受膏 - The Anointing,HSlaF5v108Y,
28,Visual Commentary: Exodus 34:6-7,nxwzq1PJImM,神的特质 - Character of God 【字义研读 - 出埃及记 34:6-7】,fZeuzgVzcEM,
29,Torah: Exodus 19-40,b0GhR-2kPKI,出埃及记 19-40章 - The Book of Exodus 19-40,q8bIxml3XhE,
30,Leviticus,IJ-FekWUZzE,《读圣经》系列：利未记 Leviticus,WEKWQtAd_x0,
31,,,,,
32,,,,,
33,Biblical Law,Sew1kBIe-W0,律法书 - Biblical Law,36QSL6nr7AU,
34,,,,,
35,Sacrifice and Atonement,G_OlRWGLdnw,赎罪 - Sacrifice & Atonement,rmIp4GgHxRg,
36,"Wisdom Within Laws About Oaths, Retaliation, and Enemy Love",3EkD-alQhT8,不要起誓。转过左脸给人打。爱你的仇敌。为什么？ Sermon on the Mount Episode 5,1C1ggZt1AIk,
37,The Law,3BGO9Mmd_cU,律法 - The Law,hPGtwQ-JOJY,
38,Sabbath,PFTLvkB3JLM,安息 - Sabbath,eZApTMnI824,
39,Torah: Leviticus,WmvyrLXoQio,利未记 - The Book of Leviticus,1RULLrxqbqE,
40,Numbers,tp5MIrMZFqo,《读圣经》系列：民数记 Numbers,M8LQxjTLLSI,
41,The Wilderness,y2500dQdO1M,,,
42,,,,,
43,Nephesh / Soul,g_igCcWAMAM,尽“性” - Nephesh【字义研读】,M4FM5qdUSBc,
44,Slow to Anger,TeQ1nq_YJD0,不轻易发怒 - Slow to Anger【字义研读】,kLe3k0js4q8,
45,,,,,
46,,,,,
47,Loyal Love,UfbyFLgs_NM,忠义之爱/慈爱 - Loyal Love【字义研读】,1NexmhG5TGA,
48,,,,,
49,YHWH / LORD,eLrGM26pmM0,雅威/耶和华/主 - Yahweh【字义研读】,N_vvaiEEf6w,
50,,,,,
51,,,,,
52,Torah: Numbers,zebxH-5o-SQ,民数记 - The Book of Numbers,7NhEnritZKA,
53,Deuteronomy,q5QEH9bH8AU,《读圣经》系列：申命记 Deuteronomy,VYwlcm2vpbU,
54,Shema / Listen,6KQLOuIKaRA,听 - Shema【字义研读】,3STpphyjBJw,
55,,,,,
56,Vocab Insight: Dām / Blood,cqPhGcdqAIY,,,
57,,,,,
58,Vocab Insight: Zakar / Remember,YoOgGeDfXDk,,,
59,Design Patterns,rkqsQpck8YU,圣经叙事体的设计模式 - Design Patterns in Biblical Narrative,sL5cJrR0mvE,
60,,,,,
61,"Wisdom Within Laws About Murder, Adultery, and Divorce",okFibMvn3t0,动怒等同于杀人？动淫念等同于犯奸淫？耶稣为什么做这样的关联？ Sermon on the Mount Episode 4,VqAnBluZtnA,
62,Blessing and Curse,jQaeIJOA6J0,祝福和咒诅 - Blessing and Curse,2A6ehU-M_wA,本影片忽略了兩項重要信仰根基，第一，如本日經文所示，神的咒詛是祂對罪惡主動的、聖潔的、強烈的反對，也是積極的刑罰，而不只是消極任憑人類「自食惡果」。第二，當談到耶穌的十字架時，影片強調耶穌以生命勝過了死亡，這當然是對的，但漏掉了最核心的一塊：十字架不只是耶穌戰勝死亡，更是耶穌代替我們承受了天父對罪的忿怒，如以賽亞書53章所說「耶和華卻喜悅將他壓傷」。
63,,,,,
64,Torah: Deuteronomy,NMhmDPWeftw,申命记 - The Book of Deuteronomy,h4mYierOEGU,
65,Joshua,JqOqJlFF_eU,《读圣经》系列：约书亚记 Joshua,NvS60hyYN8Y,
66,Angel of the Lord,qgmf8bHayXw,主的使者 - Angel of the Lord,6lQf2kDZ1mw,
67,,,,,
68,,,,,
69,,,,,
70,Judges,kOYy8iCfIJ4,《读圣经》系列：士师记 Judges,0ghjILSVPhk,
71,,,,,
72,Plot,dLFCE8z__hw,圣经叙事模式 - Plot in Biblical Narrative,AbwVW8QtLkQ,
73,,,,,
74,,,,,
75,Lev / Heart,aS4iM6KpPYo,尽“心” - Lev【字义研读】,xA3ZOf0olJI,
76,,,,,
77,Ruth,0h1eoBeR4Jk,《读圣经》系列：路得记 Ruth,qBJDorKYt4U,
78,1 Samuel,QJOju5Dw0V0,《读圣经》系列：撒母耳记上 1 Samuel,LO2pgCfIES4,
79,Passage Insight: Purpose of Fasting,,圣经中的“禁食”是什么？我们为什么要“断食”？,HapJhMZof4g,
80,Character,0EQDGax19xk,圣经中的人物 - Character in Biblical Narrative,0cBXbvj6EU8,
81,,,,,
82,,,,,
83,Ahavah / Love,HV_LUs2lnIQ,爱 - Ahavah【字义研读】,oIw3W2sdlhk,
84,,,,,
85,Khata / Sin,aNOZ7ocLD74,罪 - Khata【字义研读】,zC3YK0AB58Y,
86,,,,,
87,2 Samuel,YvoWDXNDJgs,《读圣经》系列：撒母耳记下 2 Samuel,Yr2ksoRGI7A,
88,,,,,
89,Loyal Love,UfbyFLgs_NM,忠义之爱/慈爱 - Loyal Love【字义研读】,1NexmhG5TGA,
90,,,,,
91,,,,,
92,,,,,
93,Meod / Strength,9aaVy1AmFX4,尽“力” - Me'od【字义研读】,kAd09bzGgls,
94,1-2 Kings,bVFW3wbi9pk,《读圣经》系列：列王纪上、下 1-2 Kings,JPRnyTvBBvY,
95,,,,,
96,Holiness,l9vn5UvsHvM,圣洁 - Holiness,hyXoLxdPAcw,
97,,,,,
98,,,,,
99,Character Insight: Elijah,ygd7tRiWxX0,,,
100,Divine Council,e1rai6WoOJU,天庭议会 - Divine Council,JRX-iK4pYCM,
101,,,,,
102,,,,,
103,Compassion,qJEtyAiAQik,怜悯 - Compassion【字义研读】,JLZWU3_rfIg,
104,,,,,
105,Intro to Spiritual Beings,cBxOZqtGTXE,灵界族类导论 - Spiritual Beings Introduction,XRKu_eoeI0A,
106,,,,,
107,Vocab Insight: Tov / Good,VbPT0ZUGlf4,,,
108,,,,,
109,TaNaK / Old Testament,ALsluAKBZ-c,《读圣经》系列：旧约概论 Old Testament Overview,r37i-uCOdkc,
110,Isaiah 1-39,d0A6Uchb1F8,《读圣经》系列：以赛亚书 上集 Isaiah 1-39,rQmNNx-AmQw,
111,The Prophets,edcqUu_BtN0,先知书 - The Prophets,6kdc6X8moAM,
112,,,,,
113,,,,,
114,Vocab Insight: Tannin / Dragon,Mudhpccqn5U,,,
115,The Choice,0iJ1-_nH47c,耶稣指出我们生命中最关键、最重要的选择题 Sermon on the Mount Episode 10,hiZbgbv_Eik,
116,The Exodus Way,dYPlBq8ELvA,,,
117,,,,,
118,Isaiah 40-66,_TzdEPuqgQg,《读圣经》系列：以赛亚书 下集 Isaiah 40-66,iZE4a8phsXE,
119,Redemption,uib2G8GkG60,,,
120,Jesus Fulfills the Law,KUil1m3P2iI,我们如何可以进入上帝的国度? Sermon on the Mount Episode 3,orcwDEyLQec,
121,,,,,
122,Gospel of the Kingdom,xmFPS0f-kzs,天国的福音 - Gospel of the Kingdom,MTBs0mXAN5c,
123,,,,,
124,,,,,
125,Isaiah 61,d_Q6WkD_Pas,以赛亚书 第61章 - Isaiah 61,CtBX9BQu43Y,
126,,,,,
127,Jeremiah,RSK36cHbrk0,《读圣经》系列：耶利米书 Jeremiah,2AUkRzY9U6A,
128,,,,,
129,Matthew 5:33-37: Oaths and Truth-Telling,iWpCBWS3Yek,,,
130,,,,,
131,Vocab Insight: Ets / Tree,buzyV3lFi6o,,,
132,Justice,A14THPoc4-4,公义 - Justice,lExszG_4DiA,
133,Vocab Insight: Torah / Instruction,5DWbVZmh7Jg,“妥拉”(torah)一词从何而来？,kBTAyzolJFw,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,Vocab Insight: Erets / Land,jk2iAEUDOnU,,,
140,Vocab Insight: Ga’al / Redeem,RwmiJzPGmXU,,,
141,Vocab Insight: Shamayim / Skies,AsZevUBCzqo,,,
142,Ezekiel 1-33,R-CIPu1nko8,《读圣经》系列：以西结书 上集 Ezekiel 1-33,vGpgkahAMnA,
143,,,,,
144,,,,,
145,Avon / Iniquity,w1zkwkI9oAw,罪孽 - Avon【字义研读】,mpz9sWzQlsI,
146,,,,,
147,Pesha / Transgression,cq-r9FFN5ew,过犯 - Pesha【字义研读】,TcLh3NiibUA,
148,,,,,
149,Elohim,U5iyUik97Lg,“神”/神明 - Elohim,bPanjZrA0mA,
150,Chaos Dragon,Nt08B4rm0qo,混乱之龙 | 圣经中提到的“龙”究竟是什么？ Chaos Dragon,UZCx2WPOROg,
151,,,,,
152,Ezekiel 34-48,SDeCWW_Bnyw,《读圣经》系列：以西结书 下集 Ezekiel 34-48,1D_WscaGfBk,
153,,,,,
154,Temple,wTnq6I3vUbU,圣殿 - Temple,g5U_28dRkyc,
155,Tree of Life,TJLan-pJzfQ,生命树 - Tree of Life,1x3OTPXX5RU,
156,Hosea,kE6SZ1ogOVU,《读圣经》系列：何西阿书 Hosea,N7WRyZPMq8o,
157,,,,,
158,,,,,
159,Joel,zQLazbgz90c,《读圣经》系列：约珥书 Joel,vj31iAXbfls,
160,Amos,mGgWaPGpGz4,《读圣经》系列：阿摩司书 Amos,VMtdBwmPft4,
161,Matthew 5:3-16: Beatitudes,W9fR7sHw9Y8,耶稣认为谁可以经历美好的生活（圣经动画注释）Visual Commentary: Matthew 5:3-16,X2TsJTo8WNY,
162,Obadiah,i4ogCrEoG5s,《读圣经》系列：俄巴底亚书 Obadiah,1XTA7YtzAHY,
163,Jonah,dLIabZc0O4c,《读圣经》系列：约拿书 Jonah,K6n1ksgLY04,影片口白有個小瑕疵，可能會誤導聽者，以為約拿像假先知一樣，假託上帝之名向惡王預言平安。但其實先知的忠誠與否，取決於是否精準、毫無保留地傳達了耶和華的話語，而不在於該信息對受眾而言是福是禍。《列王紀下》14章中約拿的預言，與《阿摩司書》6章中阿摩司的預言，兩者各應驗在同一朝代前後不同的歷史階段，呈現出神在盟約中對罪人的恩慈、忍耐與最終的公義審判。
164,Micah,MFEUEcylwLc,《读圣经》系列：弥迦书 Micah,3uic7uzXif4,
165,,,,,
166,Nahum,Y30DanA5EhU,《读圣经》系列：那鸿书 Nahum,FFDlrnZxuBI,
167,Habakkuk,OPMaRqGJPUU,《读圣经》系列：哈巴谷书 Habakkuk,YRu8UXo4dAg,
168,Zephaniah,oFZknKPNvz8,《读圣经》系列：西番雅书 Zephaniah,9A-_t5Eq_as,
169,Haggai,juPvv_xcX-U,《读圣经》系列：哈该书 Haggai,uruNa6kRp_Y,
170,Zechariah,_106IfO6Kc0,《读圣经》系列：撒迦利亚书 Zechariah,KPMqIiwqTPM,
171,,,,,
