Day,Book,Chapters,Psalms
1,創世記,1-3,1
2,創世記,4-7,2
3,創世記,8-11,3
4,創世記,12-15,4
5,創世記,16-18,5
6,創世記,19-21,6
7,創世記,22-24,7
8,創世記,25-28,8
9,創世記,29-31,9
10,創世記,32-34,10
11,創世記,35-37,11
12,創世記,38-40,12
13,創世記,41-42,13
14,創世記,43-45,14
15,創世記,46-47,15
16,創世記,48-50,16
17,出埃及記,1-3,17
18,出埃及記,4-6,18
19,出埃及記,7-9,19
20,出埃及記,10-12,20
21,出埃及記,13-15,21
22,出埃及記,16-18,22
23,出埃及記,19-21,23
24,出埃及記,22-24,24
25,出埃及記,25-27,25
26,出埃及記,28-29,26
27,出埃及記,30-31,27
28,出埃及記,32-34,28
29,出埃及記,35-40,29
30,利未記,1-4,30
31,利未記,5-7,31
32,利未記,8-10,32
33,利未記,11-13,33
34,利未記,14-15,34
35,利未記,16-18,35
36,利未記,19-20,36
37,利未記,21-23,37
38,利未記,24-25,38
39,利未記,26-27,39
40,民數記,1-4,40
41,民數記,5-7,41
42,民數記,8-10,42
43,民數記,11-13,43
44,民數記,14-16,44
45,民數記,17-18,45
46,民數記,19-21,46
47,民數記,22-24,47
48,民數記,25-27,48
49,民數記,28-30,49
50,民數記,31-32,50
51,民數記,33-34,51
52,民數記,35-36,52
53,申命記,1-3,53
54,申命記,4-6,54
55,申命記,7-9,55
56,申命記,10-12,56
57,申命記,13-14,57
58,申命記,15-16,58
59,申命記,17-20,59
60,申命記,21-23,60
61,申命記,24-27,61
62,申命記,28-29,62
63,申命記,30-31,63
64,申命記,32-34,64
65,約書亞記,1-4,65
66,約書亞記,5-8,66
67,約書亞記,9-12,67
68,約書亞記,13-21,68
69,約書亞記,22-24,69
70,士師記,1-3,70
71,士師記,4-5,71
72,士師記,6-8,72
73,士師記,9-12,73
74,士師記,13-15,74
75,士師記,16-18,75
76,士師記,19-21,76
77,路得記,1-4,77
78,撒母耳記上,1-3,78
79,撒母耳記上,4-8,79
80,撒母耳記上,9-12,80
81,撒母耳記上,13-14,81
82,撒母耳記上,15-17,82
83,撒母耳記上,18-20,83
84,撒母耳記上,21-24,84
85,撒母耳記上,25-27,85
86,撒母耳記上,28-31,86
87,撒母耳記下,1-3,87
88,撒母耳記下,4-8,88
89,撒母耳記下,9-12,89
90,撒母耳記下,13-15,90
91,撒母耳記下,16-18,91
92,撒母耳記下,19-21,92
93,撒母耳記下,22-24,93
94,列王紀上,1-3,94
95,列王紀上,4-7,95
96,列王紀上,8-10,96
97,列王紀上,11-13,97
98,列王紀上,14-16,98
99,列王紀上,17-19,99
100,列王紀上,20-22,100
101,列王紀下,1-3,101
102,列王紀下,4-7,102
103,列王紀下,8-11,103
104,列王紀下,12-14,104
105,列王紀下,15-17,105
106,列王紀下,18-19,106
107,列王紀下,20-22,107
108,列王紀下,23-25,108
109,以賽亞書,1-4,109
110,以賽亞書,5-8,110
111,以賽亞書,9-12,111
112,以賽亞書,13-17,112
113,以賽亞書,18-22,113
114,以賽亞書,23-27,114
115,以賽亞書,28-30,115
116,以賽亞書,31-35,116
117,以賽亞書,36-38,117
118,以賽亞書,39-41,118
119,以賽亞書,42-44,119:1-32
120,以賽亞書,45-48,119:33-64
121,以賽亞書,49-51,119:65-96
122,以賽亞書,52-54,119:97-128
123,以賽亞書,55-57,119:129-152
124,以賽亞書,58-60,119:153-176
125,以賽亞書,61-64,120
126,以賽亞書,65-66,121
127,耶利米書,1-3,122
128,耶利米書,4-6,123
129,耶利米書,7-9,124
130,耶利米書,10-13,125
131,耶利米書,14-17,126
132,耶利米書,18-22,127
133,耶利米書,23-25,128
134,耶利米書,26-29,129
135,耶利米書,30-33,130
136,耶利米書,34-36,131
137,耶利米書,37-39,132
138,耶利米書,40-44,133
139,耶利米書,45-48,134
140,耶利米書,49-50,135
141,耶利米書,51-52,136
142,以西結書,1-3,137
143,以西結書,4-7,138
144,以西結書,8-11,139
145,以西結書,12-14,140
146,以西結書,15-17,141
147,以西結書,18-20,142
148,以西結書,21-24,143
149,以西結書,25-28,144
150,以西結書,29-30,145
151,以西結書,31-33,146
152,以西結書,34-37,147
153,以西結書,38-39,148
154,以西結書,40-43,149
155,以西結書,44-48,150
156,何西阿書,1-5,1
157,何西阿書,6-10,2
158,何西阿書,11-14,3
159,約珥書,1-3,4
160,阿摩司書,1-5,5
161,阿摩司書,6-9,6
162,俄巴底亞書,1,7
163,約拿書,1-4,8
164,彌迦書,1-4,9
165,彌迦書,5-7,10
166,那鴻書,1-3,11
167,哈巴谷書,1-3,12
168,西番雅書,1-3,13
169,哈該書,1-2,14
170,撒迦利亞書,1-4,15
171,撒迦利亞書,5-8,16
172,撒迦利亞書,9-14,17
173,瑪拉基書,1-2,18
174,瑪拉基書,3-4,19
175,詩篇,1-2,20
176,箴言,1-3,21
177,箴言,4-6,22
178,箴言,7-9,23
179,箴言,10-12,24
180,箴言,13-15,25
181,箴言,16-18,26
182,箴言,19-21,27
183,箴言,22-24,28
184,箴言,25-27,29
185,箴言,28-31,30
186,約伯記,1-3,31
187,約伯記,4-7,32
188,約伯記,8-10,33
