Day,URL,Content
1,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/1,"The Bible is a unified story that leads to Jesus, and today, we’ll dive into that story’s mysterious, watery beginning. The first three chapters of Genesis set the stage for the whole biblical drama. They introduce us to God’s purpose for his creation, the results of humanity’s decision to trust a deceiver rather than their creator, and God’s plan to rescue and restore the world. The stories we’ll read today also introduce important patterns that reappear throughout Genesis and the rest of the biblical story.
In today’s video, we see how in Genesis 1, God transforms chaos and darkness into an ordered cosmos where life can flourish. We’ll also see how God makes humans in his own image to reflect his good nature and rule creation as his partners.
God gives these humans everything they need to fulfill this calling. He plants them in a lush garden, where food grows in abundance and his divine presence dwells—a place where Heaven meets Earth. God also gives humanity the dignity of choice, represented by two fruit trees. The humans can trust God’s wisdom and eat from the tree of life, or they can eat from the tree of knowing good and bad. This second tree represents taking the authority to do what’s good in their own eyes, a choice which leads to death.
Unfortunately, an enemy deceives the humans in the garden, and they seize wisdom on their own terms with devastating consequences. Their relationships with God, each other, and the land fracture. But God promises that their choice and its consequences are not the end of the story. Throughout this year, we’ll journey through the story of God’s mission to rescue humanity and crush evil for good.
Reflection Questions
What have you learned about God’s character from his creation and the instructions he gives to humans made in his image?
Can you think of a time when something you first thought was good turned out to be bad? What happened as a result? What helped bring clarity to the situation?"
2,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/2,"Banished east of Eden, humanity continues a terrible, downward spiral. In today’s video, pay attention to how humanity repeatedly rejects God’s good plan and the harm this brings.
As the spiral descends in today’s reading, you may notice certain words, phrases, images, actions, and settings reappear in multiple stories. The biblical authors use these literary repetitions as “hyperlinks” to other parts of the Bible.
Take, for example, the story of Cain. Like his parents under Eden’s fruit trees, Cain faces a life-or-death kind of choice. God tells Cain that sin is like a “croucher” or “predator” that wants to devour him, but it can be “mastered” or “subdued.” But instead of following God’s instruction, Cain does what looks good in his own eyes—a choice that leads to death. Cain’s decision and its consequences echo his parents’ tragic story: struggle, curse, and exile from God’s presence.
The cycle of death and oppression only gets worse from there. By Genesis 6, humanity is on the brink of self-destruction. God’s images were supposed to multiply and fill the earth with goodness, not with violence and evil!
With a broken heart, God sends a powerful flood. The dark waters of chaos wash back over the world to cleanse it of evil. But God refuses to abandon humanity. He saves Noah and his family, bringing them through the waters of death for a fresh start on the other side.
Reflection Questions
Where do you see God acting mercifully during the downward spiral of Genesis 3-11?
What hyperlinks do you see between Genesis 1-3 and Genesis 4-7? How do these repetitions and patterns help you understand both sets of stories?"
3,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/3,"Today, we close the first main section of Genesis, which focuses on God, creation, and humanity. Watch the video to review the story so far and the pattern of humans forsaking God’s wisdom in favor of their own ideas about good and bad.
Today’s reading is packed with hyperlinks to Genesis 1-3. The de-creation floodwaters recall the dark waters of chaos in Genesis 1. There, God separated the waters to bring forth dry land where life could flourish. But by rejecting God, humanity is headed back to lifelessness and chaos.
The end of the flood narrative is a hopeful moment of new creation, and Noah is presented like a new Adam. Unfortunately, Noah also
takes
the fruit from his garden and ends up
naked
and ashamed—repeating the pattern and continuing the downward spiral of human brokenness. The story bottoms out at the Tower of Babylon (in Hebrew,
Babel
means Babylon). Humanity’s rebellion and arrogance stretch to the skies, so God scatters them.
As we reach the end of Genesis 11, it’s natural to ask ourselves: Will humans ever get it right? Is there a way for God to restore humans as his faithful partners? The rest of the biblical story answers this question.
Reflection Questions
In Genesis 3, humans
see
and
take
something that seems good to them (but is not). Where else have you seen this pattern repeat within the first 11 chapters of Genesis?
As you look back over the last several chapters of Genesis, where do you see God’s commitment to humans despite their poor choices and downward spiral into destructive rebellion?"
4,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/4,"In today’s reading, God promises to bless Abram (later called Abraham) with land, a great reputation, and a family too big to count every member. But why did God choose to bless this one man with so much?
God blesses Abram for one key purpose: so that his family will bless all the families (or nations) on Earth (Gen. 12:2-3). These verses form a hinge between two major narrative blocks in Genesis: the story of God’s relationship to the world (Gen. 1-11) and the story about his rescue plan through Abram’s family (Gen. 12-50).
Notice how Genesis 12:1-9 inverts Genesis 11:1-9. In Babylon, humanity builds a tower to make their own name great. Their journey starts in arrogance and ends in disaster. In contrast, Abram builds an altar to make Yahweh’s name great. His journey starts in obedience and ends in blessing.
As we continue in our reading, we’ll also meet the mysterious ruler Melchizedek. Though briefly mentioned, Melchizedek becomes a prominent biblical figure who serves as both king and priest (and he will show up again in the New Testament book of Hebrews!).
Today’s video explains the important role that royal priests play in the biblical story. Melchizedek points forward to a future royal priesthood in Jerusalem and to humanity’s ultimate priestly king, Jesus.
Reflection Questions
As you read through these first few stories about Abram (Abraham), what can you learn about him? When does he trust God’s wisdom, and when does he follow his own wisdom? What happens as a result?
Compare Melchizedek’s speech to Abram in Genesis 14:18-20 with God’s speech to Abram in Genesis 12:1-3. What connections do you see? How does this help you understand the Melchizedek story?"
5,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/5,"In today’s video, we’ll notice an emerging pattern. Despite God choosing Abram and his family to bless the world, they make selfish and fearful decisions that threaten to derail their own lives
and
God’s rescue plan. But God remains faithful to rescue and bless them anyway.
Today’s story is a good example of this pattern. God promises to provide a child for Abram and Sarai (later called Sarah)—a child that Sarai will bear herself. But years of infertility erode their patience, and eventually, they stop trusting God’s promise. Like Adam and Eve, they do what’s right in their own eyes. They
take
their enslaved Egyptian girl, Hagar, abuse her by forcing her to bear Abram’s child, and then oppress her once she becomes pregnant.
Despite Abram’s lack of faith and treatment of Hagar, God remains faithful to his promise. God comforts and provides for Hagar, and he reaffirms his commitment to Abram with a formal covenant and a new name: Abraham. Even as imperfect humans struggle to trust him, God keeps his promises.
Reflection Questions
How do you see God caring for Hagar, the enslaved Egyptian girl, in today’s reading? What does this story reveal about God’s concern for the outsider?
Compare God’s speeches to Abraham in Genesis 15 and 17 with his first speech in Genesis 12:1-3. What common themes do you notice? How does Abraham respond?"
6,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/6,"Today’s reading begins under the dark shadow of pained outcries from yesterday’s story. In the cities of Sodom and Gomorrah, human corruption and violence have reached heights not seen since before the flood.
Notice the parallels between the two stories: God acknowledges the grievous corruption (Gen. 6:11-12), humanity desires a sexual encounter that violates the boundary between Heaven and Earth (Gen. 6:1-5), God provides a place of refuge with a door shut tight against the danger outside (Gen. 7:7, 13-16), and a parent escapes the catastrophe only to end up drunk and shamed by his children (Gen. 9:21-23).
These hyperlinks connect both events and reveal that cosmic, divine judgment repeats when God deems it necessary. Later biblical authors will use ""Sodom and Gomorrah” as a shorthand for God’s response to dire cases of human injustice.
But just as God’s rescue plan continued after the flood, his plan also continues after the fire. He fulfills his long-awaited promise to give Abraham and Sarah a son. It’s a bittersweet moment. Isaac’s healthy birth testifies to God’s faithfulness, but “Isaac” in Hebrew means “laughter,” forever recalling his parents’ impatient distrust toward God. Isaac’s arrival also rekindles Sarah’s jealousy toward Hagar and Ishmael, leading to vicious behavior and deepening family ruptures.
All of this heightens the tension: God is staying faithful, but Abraham’s trust is faltering. Will this continue, or will God change things up?
Reflection Questions
As you read the story of Lot and his family in Genesis 19, think back to the stories of Abraham and his family that you read yesterday. Where does each family face similar problems? How do they respond? What happens?
Compare the two encounters between Abraham and Abimelech in Genesis 20:1-18 and 21:22-34. How does Abraham act in each story? What are the results?"
7,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/7,"Today’s reading opens with a scheming man, a fractured family, and questions about the future of God’s plan. God chose Abraham and his family to rescue and bless the world. But this family keeps trying to take God’s promise on their own terms, hurting themselves and the people around them in the process.
Still, God refuses to give up on them. He gives Abraham a chance to act in faith by instructing him to sacrifice his beloved son, Isaac. It is a shocking, unsettling test. However, as we’ll learn in today’s video, a test from a good God presents an opportunity.
And Abraham aces the test! Instead of succumbing to fear, he demonstrates the kind of radical trust needed to partner with God. Abraham and his descendants must trust that God’s promises are always true and that he alone can give and sustain human life. Abraham and Sarah will soon die, but passing this test ensures God’s partnership will live on through their son, Isaac. The next generation will have its own tests and opportunities to walk with God.
Reflection Questions
What parallels do you notice between Hagar’s near loss of Ishmael in Genesis 21:8-21 and Abraham’s near loss of Isaac in Genesis 22:1-19?
Read God’s speech to Abraham in Genesis 22:15-18 closely. What hyperlinks do you see to other stories you’ve read in Genesis so far? What do they tell you about this moment?"
8,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/8,"After Abraham’s death, God’s blessing continues through his children and grandchildren. In a surprising reversal of ancient cultural expectations, God chooses Isaac’s younger son, Jacob, to inherit the blessing. Today’s video shows how God subverts the expected firstborn privileges that often lead to contentious rivalries. This upheaval of cultural norms can be an invitation for people to use their privilege to serve (rather than compete with) others.
“Jacob” means “deceiver,” and he lives up to the name. Rather than trusting God to provide abundance, security, and blessing, Jacob schemes and takes these things for himself. Notice how the biblical authors rarely give direct moral commentary on people like Jacob. Instead, we’re invited to assess a person’s behavior by seeing the consequences of their decisions.
Consider the way Jacob and his family treat God’s blessing, for example. Although God chose Jacob, Isaac wants to give the blessing to Esau, his favored son. The brothers barter an immeasurable blessing over a measly bowl of soup. Rebekah and Jacob lie, cheat, and steal to take the blessing rather than trusting God’s promise. All this scheming leads to bitterness and division within the family.
Is God really going to rescue humanity through such a dysfunctional family? Believe it or not—yes! When Jacob flees into exile, God speaks to him in a dream. He makes the same promise to Jacob as he did to Abraham: to bless all humanity through him. We may have reasonable doubts about Jacob, but God remains committed to his covenant partnership with Abraham’s family, imperfections and all.
Reflection Questions
Look back over Genesis 26. Where does Isaac act like his father in this story? Where does he make different decisions? What are the results?
Think about some of the major figures you’ve encountered in Genesis so far. How might their stories invite you to learn wisdom from the results of their actions?"
9,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/9,"Scheming leads to more scheming. In today’s reading, you’ll watch Jacob and his extended family perpetuate a pattern of cheating, lying, and stealing for personal gain. Jacob and Laban spend years swindling each other. Jacob’s favoritism sparks a new sibling rivalry, this time between his wives. Rachel and Leah abuse their slaves in a bitter competition for more children.
The tragic irony is that God already
promised
to bless Jacob with abundance. But Jacob trusts his wisdom over the God of his fathers. Jacob lies and cheats at every turn, leaving relational wreckage in his wake. Jacob’s story will shatter any illusion that God’s blessings depend upon the moral integrity of Abraham’s family. Fortunately, God’s promises to humans have always rested on his faithfulness, not theirs.
With Laban infuriated, Jacob flees once again due to the fallout of his selfish decisions. But when Laban storms up to his nephew’s camp, God intervenes to bring a surprising and peaceful resolution to their decades-long conflict.
Jacob has done everything he can to forfeit the blessing, yet God stays by his side. During Jacob’s time with Laban, he accumulates a large family and great wealth. But the scheming also produces envy, bitterness, and conflict. How will God partner with a man so determined to do things his own way?
Reflection Questions
Look closely at Jacob’s speech to his wives about how he obtained flocks from Laban (Gen. 31:4-13). How does his version of the story compare to what actually happened (Gen. 30:25-43)? What does this tell you about Jacob’s character?
Abraham, Isaac, and Jacob all have a mixed moral track record. Why do you think the biblical authors tell such negative stories about God’s chosen family?"
10,https://www.bible.com/reading-plans/63058-bibleproject-one-story-that-leads-to-jesus/day/10,"In the last encounter between the brothers, Jacob tricked Esau out of his blessing and ran away. In today’s reading, the estranged brothers prepare to reunite. As Esau approaches, Jacob panics and, as usual, turns to selfish schemes for protection. First, he sends a huge gift of livestock to temper Esau’s anger. Then, he puts his wives and children ahead of him in the caravan and takes the safest spot in the rear.
But the night before the reunion, in one of the most famous scenes of the Hebrew Bible, Jacob wrestles with God. The struggle mirrors the story of Jacob’s life: struggling for blessing through manipulation and deceit, while ruining relationships along the way. So God wounds Jacob to teach him that blessing comes through weakness and dependence, not schemes. He gives Jacob, “the deceiver,” a new name: Israel, which means “struggles with God.”
For a moment, the wrestling match changes Jacob. He leads the caravan and greets his brother with humility. In a surprising twist, Esau showers Jacob with generosity and love rather than anger. But Jacob soon reverts to his old ways, lying to Esau and abandoning him.
Jacob’s evasiveness results in his family settling in Shechem, where one of the local men sexually assaults his daughter, Dinah. This horrific moment exposes the consequences of Jacob’s lifelong rejection of God’s wisdom. To make matters worse, Jacob’s refusal to seek justice on Dinah’s behalf provokes his sons to evil and treachery. Without a wise father’s guidance, they weaponize the covenant sign of circumcision as they seek vengeance. And so another generation of Abraham’s family descends into chaos and violence. Will this downward spiral ever end?
Reflection Questions
God gives Jacob the name Israel because he struggled with God and with humans and prevailed. Where have you seen Jacob struggle with God in his life so far? Where has he struggled with humans? What do you think it means that he has prevailed?
Compare the two brothers’ respective responses to the family reunion. How does Jacob approach Esau? How does Esau receive Jacob? What does this tell you about each brother’s character?"
